device_name,hostname,adom,serial,platform,os_version,status,file_size_bytes,file_size_kb,file_path,error_message
cl-fw-axa-MartMinas-228,cl-fw-axa-MartMinas-228,MART_MINAS,FGT40FTK21002621,FortiGate-40F,v7.0.13,✅ Sucesso,730879,713.75,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-axa-MartMinas-228-17-05-47.conf,
cl-fw-baik-MartMinas-273,cl-fw-baik-MartMinas-273,MART_MINAS,FGT40FTK2209F6UC,FortiGate-40F,v7.0.13,✅ Sucesso,697078,680.74,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-baik-MartMinas-273-17-05-47.conf,
cl-fw-bca-MartMinas-230,cl-fw-bca-MartMinas-230,MART_MINAS,FGT40FTK21003020,FortiGate-40F,v7.0.13,✅ Sucesso,725107,708.11,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-bca-MartMinas-230-17-05-47.conf,
cl-fw-bdp-MartMinas-247,cl-fw-bdp-MartMinas-247,MART_MINAS,FGT40FTK21021448,FortiGate-40F,v7.0.13,✅ Sucesso,721504,704.59,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-bdp-MartMinas-247-17-05-47.conf,
cl-fw-bet-MartMinas-262,cl-fw-bet-MartMinas-262,MART_MINAS,FGT40FTK21054135,FortiGate-40F,v7.0.13,✅ Sucesso,738909,721.59,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-bet-MartMinas-262-17-05-47.conf,
cl-fw-bet-MartMinas-271,cl-fw-bet-MartMinas-271,MART_MINAS,FGT40FTK21046753,FortiGate-40F,v7.0.13,✅ Sucesso,687108,671.0,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-bet-MartMinas-271-17-05-47.conf,
cl-fw-bet-MartMinas-285,cl-fw-bet-MartMinas-285,MART_MINAS,FGT40FTK2209EY7W,FortiGate-40F,v7.0.13,✅ Sucesso,610065,595.77,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-bet-MartMinas-285-17-05-47.conf,
cl-fw-bet-MartMinas-287,cl-fw-bet-MartMinas-287,MART_MINAS,FGT40FTK2209ETXQ,FortiGate-40F,v7.0.13,✅ Sucesso,695972,679.66,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-bet-MartMinas-287-17-05-47.conf,
cl-fw-bhe-MartMinas-251,cl-fw-bhe-MartMinas-251,MART_MINAS,FGT40FTK21046551,FortiGate-40F,v7.0.13,✅ Sucesso,745035,727.57,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-bhe-MartMinas-251-17-05-47.conf,
cl-fw-bhe-MartMinas-263,cl-fw-bhe-MartMinas-263,MART_MINAS,FGT40FTK21099ASK,FortiGate-40F,v7.0.13,✅ Sucesso,724701,707.72,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-bhe-MartMinas-263-17-05-47.conf,
