device_name,hostname,adom,serial,platform,os_version,status,file_size_bytes,file_size_kb,file_path,error_message
cl-fw-ama-DOM-111-Araruama,cl-fw-ama-DOM-111-Araruama,DOM_ATACAREJO,FGT40FTK21050882,FortiGate-40F,v7.0.10,✅ Sucesso,550445,537.54,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/DOM_ATACAREJO/cl-fw-ama-DOM-111-Araruama-17-03-35.conf,
cl-fw-arbu-DOM-131-Buzios,cl-fw-arbu-DOM-131-Buzios,DOM_ATACAREJO,FGT40FTK2409BXV1,FortiGate-40F,v7.0.10,❌ Falha,0,0.0,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/DOM_ATACAREJO/cl-fw-arbu-DOM-131-Buzios-17-03-35.conf,No permission for the resource
cl-fw-ars-DOM-104-Angra1,cl-fw-ars-DOM-104-Angra1,DOM_ATACAREJO,FGT40FTK2209HHJG,FortiGate-40F,v7.0.10,✅ Sucesso,554988,541.98,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/DOM_ATACAREJO/cl-fw-ars-DOM-104-Angra1-17-03-35.conf,
cl-fw-ars-DOM-112-Angra2,cl-fw-ars-DOM-112-Angra2,DOM_ATACAREJO,FGT40FTK21001647,FortiGate-40F,v7.0.10,✅ Sucesso,545027,532.25,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/DOM_ATACAREJO/cl-fw-ars-DOM-112-Angra2-17-03-35.conf,
cl-fw-bero-DOM-123-Belford_Roxo,cl-fw-bero-DOM-123-Belford_Roxo,DOM_ATACAREJO,FGT40FTK2109C2Z5,FortiGate-40F,v7.0.10,✅ Sucesso,555327,542.31,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/DOM_ATACAREJO/cl-fw-bero-DOM-123-Belford_Roxo-17-03-35.conf,
cl-fw-bng-DOM-126-Bangu,cl-fw-bng-DOM-126-Bangu,DOM_ATACAREJO,FGT60ETK20001571,FortiGate-60E,v7.0.11,✅ Sucesso,520328,508.13,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/DOM_ATACAREJO/cl-fw-bng-DOM-126-Bangu-17-03-35.conf,
cl-fw-cht-DOM-119-Ceasa,cl-fw-cht-DOM-119-Ceasa,DOM_ATACAREJO,FGT40FTK2209HJ7Z,FortiGate-40F,v7.0.10,✅ Sucesso,564644,551.41,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/DOM_ATACAREJO/cl-fw-cht-DOM-119-Ceasa-17-03-35.conf,
cl-fw-mce-DOM-110-Macae,cl-fw-mce-DOM-110-Macae,DOM_ATACAREJO,FGT40FTK21051065,FortiGate-40F,v7.0.10,✅ Sucesso,530311,517.88,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/DOM_ATACAREJO/cl-fw-mce-DOM-110-Macae-17-03-35.conf,
cl-fw-mrc-DOM-118-Marica,cl-fw-mrc-DOM-118-Marica,DOM_ATACAREJO,FGT40FTK23090153,FortiGate-40F,v7.0.10,❌ Falha,0,0.0,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/DOM_ATACAREJO/cl-fw-mrc-DOM-118-Marica-17-03-35.conf,No permission for the resource
cl-fw-nri-DOM-107-Niteroi,cl-fw-nri-DOM-107-Niteroi,DOM_ATACAREJO,FGT40FTK2209HJ3K,FortiGate-40F,v7.0.10,✅ Sucesso,531905,519.44,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/DOM_ATACAREJO/cl-fw-nri-DOM-107-Niteroi-17-03-35.conf,
