device_name,hostname,adom,serial,platform,os_version,status,file_size_bytes,file_size_kb,file_path,error_message
cl-fw-acg-tecar-go-11001,cl-fw-acg-tecar-go-11001,TECAR,FGT60FTK23026249,FortiGate-60F,v7.0.11,✅ Sucesso,404555,395.07,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/TECAR/cl-fw-acg-tecar-go-11001-16-58-07.conf,
cl-fw-aiu-tecar-pa-56001,cl-fw-aiu-tecar-pa-56001,TECAR,FGT40FTK2209GGY5,FortiGate-40F,v7.0.11,✅ Sucesso,394081,384.84,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/TECAR/cl-fw-aiu-tecar-pa-56001-16-58-07.conf,
cl-fw-ans-tecar-go-31001,cl-fw-ans-tecar-go-31001,TECAR,FGT40FTK2209GVQ7,FortiGate-40F,v7.0.11,✅ Sucesso,361079,352.62,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/TECAR/cl-fw-ans-tecar-go-31001-16-58-07.conf,
cl-fw-ans-tecar-go-42001,cl-fw-ans-tecar-go-42001,TECAR,FGT40FTK2209GVLQ,FortiGate-40F,v7.0.11,✅ Sucesso,375129,366.34,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/TECAR/cl-fw-ans-tecar-go-42001-16-58-07.conf,
cl-fw-bag-tecar-mt-12001,cl-fw-bag-tecar-mt-12001,TECAR,FGT40FTK2209GVNU,FortiGate-40F,v7.0.11,✅ Sucesso,371647,362.94,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/TECAR/cl-fw-bag-tecar-mt-12001-16-58-07.conf,
cl-fw-bhe-tecar-bh-15001,cl-fw-bhe-tecar-bh-15001,TECAR,FGT40FTK2309AD8K,FortiGate-40F,v7.0.11,✅ Sucesso,378298,369.43,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/TECAR/cl-fw-bhe-tecar-bh-15001-16-58-07.conf,
cl-fw-bhe-tecar-bh-16001,cl-fw-bhe-tecar-bh-16001,TECAR,FG100FTK21010420,FortiGate-100F,v7.0.11,✅ Sucesso,422020,412.13,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/TECAR/cl-fw-bhe-tecar-bh-16001-16-58-07.conf,
cl-fw-bhe-tecar-bh-59001,cl-fw-bhe-tecar-bh-59001,TECAR,FGT40FTK22099W8G,FortiGate-40F,v7.0.11,✅ Sucesso,372673,363.94,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/TECAR/cl-fw-bhe-tecar-bh-59001-16-58-07.conf,
cl-fw-bhe-tecar-mg-67001,cl-fw-bhe-tecar-mg-67001,TECAR,FGT40FTK2209EYHJ,FortiGate-40F,v7.0.11,✅ Sucesso,371881,363.17,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/TECAR/cl-fw-bhe-tecar-mg-67001-16-58-07.conf,
cl-fw-bhe-tecar-mg-70001,cl-fw-bhe-tecar-mg-70001,TECAR,FGT40FTK2409BYFP,FortiGate-40F,v7.0.11,✅ Sucesso,359800,351.37,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/TECAR/cl-fw-bhe-tecar-mg-70001-16-58-07.conf,
cl-fw-bhe-tecar-mg-71001,cl-fw-bhe-tecar-mg-71001,TECAR,FGT40FTK2409BYJS,FortiGate-40F,v7.0.11,✅ Sucesso,356228,347.88,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/TECAR/cl-fw-bhe-tecar-mg-71001-16-58-07.conf,
