ADOM,Device,Hostname,Serial,Version,R01,R02,R03,R04,R05,R06,R07,R08,R09,R10,R11,R12,R13
DOM_ATACAREJO,cl-fw-ama-DOM-111-Araruama,cl-fw-ama-DOM-111-Araruama,FGT40FTK21050882,7.0,AUSENTE,OK,AUSENTE,AUSENTE,OK,OK,AUSENTE,OK,AUSENTE,AUSENTE,AUSENTE,OK,AUSENTE
DOM_ATACAREJO,cl-fw-arbu-DOM-131-Buzios,cl-fw-arbu-DOM-131-Buzios,FGT40FTK2409BXV1,7.0,AUSENTE,OK,AUSENTE,AUSENTE,OK,OK,AUSENTE,OK,AUSENTE,AUSENTE,AUSENTE,OK,AUSENTE
DOM_ATACAREJO,cl-fw-ars-DOM-104-Angra1,cl-fw-ars-DOM-104-Angra1,FGT40FTK2209HHJG,7.0,AUSENTE,OK,AUSENTE,AUSENTE,OK,OK,AUSENTE,OK,AUSENTE,AUSENTE,AUSENTE,OK,AUSENTE
DOM_ATACAREJO,cl-fw-ars-DOM-112-Angra2,cl-fw-ars-DOM-112-Angra2,FGT40FTK21001647,7.0,AUSENTE,OK,AUSENTE,AUSENTE,OK,OK,AUSENTE,OK,AUSENTE,AUSENTE,AUSENTE,OK,AUSENTE
DOM_ATACAREJO,cl-fw-bero-DOM-123-Belford_Roxo,cl-fw-bero-DOM-123-Belford_Roxo,FGT40FTK2109C2Z5,7.0,AUSENTE,OK,AUSENTE,AUSENTE,OK,OK,AUSENTE,OK,AUSENTE,AUSENTE,AUSENTE,OK,AUSENTE
DOM_ATACAREJO,cl-fw-bng-DOM-126-Bangu,cl-fw-bng-DOM-126-Bangu,FGT60ETK20001571,7.0,AUSENTE,OK,AUSENTE,AUSENTE,OK,OK,AUSENTE,OK,AUSENTE,AUSENTE,AUSENTE,OK,AUSENTE
DOM_ATACAREJO,cl-fw-cht-DOM-119-Ceasa,cl-fw-cht-DOM-119-Ceasa,FGT40FTK2209HJ7Z,7.0,AUSENTE,OK,AUSENTE,AUSENTE,OK,OK,AUSENTE,OK,AUSENTE,AUSENTE,AUSENTE,OK,AUSENTE
DOM_ATACAREJO,cl-fw-dqx-DOM-109-Caxias1,cl-fw-rjo-DOM-109-Caxias1,FGT40FTK21049789,7.0,AUSENTE,OK,AUSENTE,AUSENTE,OK,OK,AUSENTE,OK,AUSENTE,AUSENTE,AUSENTE,OK,AUSENTE
DOM_ATACAREJO,cl-fw-mce-DOM-110-Macae,cl-fw-mce-DOM-110-Macae,FGT40FTK21051065,7.0,AUSENTE,OK,AUSENTE,AUSENTE,OK,OK,AUSENTE,OK,AUSENTE,AUSENTE,AUSENTE,OK,AUSENTE
DOM_ATACAREJO,cl-fw-mrc-DOM-118-Marica,cl-fw-mrc-DOM-118-Marica,FGT40FTK23090153,7.0,AUSENTE,OK,AUSENTE,AUSENTE,OK,OK,AUSENTE,OK,AUSENTE,AUSENTE,AUSENTE,OK,AUSENTE
